"","se_1","se_2","se_3","se_4","se_5","se_6","se_7","se_8","se_9","se_10","se_11","se_12","se_13","se_14","se_15","se_16","se_17"
"1-nitrosopiperazine",20.2199288653261,20.2501423366692,20.1023161587939,20.0226499277992,20.0921811936187,20.119528592848,20.0374351548698,20.1379815797395,20.1364462495218,20.0099887599448,19.9477300241789,20.179404705604,20.0559806688111,20.15540602488,19.9947367473031,20.0394504282695,20.0211777274927
"1-o-hexadecyl-sn-glycero-3-phosphocholine",14.864559665802,15.3840168782815,15.5138513994163,14.5692032493375,15.270487456344,15.3835838604555,14.8004547361023,15.4312968105536,14.779029117445,15.3697421855432,14.5490144159757,14.7548666517907,15.2991531552054,14.9392417591569,14.703636486867,15.3476580781618,15.1353568290798
"1-propanol, hexafluoro-",9.72893774892895,13.5314932898986,13.7339433178878,13.4990277786599,13.6535643769682,14.3982571999716,13.7408699870649,13.8135358326071,13.2644342844673,14.3010355954514,13.894303317532,14.0443805905826,14.1492081198694,14.114221941298,14.0381466467949,14.1288642846012,14.1613002987058
"1-pyrenecarboxaldehyde",12.7664247466837,12.3041963463159,12.92558041616,12.8717913328787,13.0560981841991,12.5966733686545,12.5040622064888,12.8448406236741,12.3649934310215,13.3303115464735,13.162728550468,13.293208565943,13.2196531067074,12.9134825708889,13.2453166644888,12.8581743097878,13.2040461060246
"1-pyrroline-5-carboxylic acid",13.9888372848074,13.4634926474259,14.0291964408349,14.6459640693963,14.0371155315467,14.5895866602132,13.7650130835477,14.61518560302,13.6543865990008,14.4435148270821,13.6618324769323,13.6737465680116,13.9403804831228,14.0442936531055,13.4891608497664,14.5059804999378,14.1767077617807
"1-salicylate glucuronide",13.667947447424,11.7210974822887,11.882817777701,13.0723831780686,12.0283564761497,12.1864261008796,12.186981924079,12.032385250315,12.401405535517,12.709493843253,13.7382423766731,14.2895420442407,11.8856138198999,12.2336532171049,13.7571904464985,11.8462428404942,12.0704890573914
"1-{2-[(3-ethylphenyl)amino]-2-oxoethyl}-6-oxo-1,6-dihydropyridine-3-carboxylic acid",10.389306552295,13.8019389656925,13.9614203110831,14.6642766781185,14.1352249176076,14.6958835237144,13.5756003527353,14.3405058368842,14.0396067631394,14.2855527973306,14.4310403977579,14.2881373519858,14.1930218512303,14.299982342873,14.3970714276798,14.3232741777417,14.3201145758421
"10-(phosphonooxy)decyl methacrylate",14.3980981162141,16.4549399257817,15.867727599977,13.8846198635949,16.099487546964,15.9967502498476,15.2866350604069,15.91352411338,15.8287913201969,16.8923429817918,14.834117547329,13.944272770327,16.0491789983314,15.5453629471211,13.6907302081135,16.2246694453031,16.5300361216956
"10-acetyl-3,7-dihydroxyphenoxazine",13.4672137743213,13.1001259166975,13.3396784398649,13.9015477856412,13.419273267166,13.8322860517938,12.3482931210121,13.5697634623618,12.8772427459126,14.1114448993257,13.4638062229193,13.2891344274781,13.4213857943199,13.3565398454986,13.4789427495675,13.5360674122537,13.5206837373818
"10z-nonadecenoic acid",15.3256962307123,15.8704224855036,15.6180315246582,15.0760968081435,15.7157903219512,15.004400626113,15.3903138246532,15.3163175557868,15.2291682796907,14.1046545270674,15.0550963337183,14.7655382713972,15.5440942245667,15.0941011699986,15.1941905577259,15.0022168612981,15.590324960991
"11-beta-hydroxyandrosterone-3-glucuronide",14.5538139535307,14.9205126871787,14.8899703563666,14.0494592587847,14.0454556091239,14.3429217217347,13.3021393770136,14.1080977227831,14.7128587834082,12.7563805462298,14.0662546232242,13.3477576747322,13.9173889255843,13.1923832950385,13.7380310828759,13.2371977905405,13.1632543400824
"11-hydroxyyohimbine",9.72464631874663,12.7499810092218,11.634943520468,13.0156527572989,12.2360877151235,13.5384274249397,13.1956097836305,13.5675878045781,13.2273850975122,11.6206556693006,12.1122354717876,12.5743091770316,11.587691683512,13.2437000822627,12.4986709978375,13.4158157832915,12.4064746820937
